Variable,Index,Type,sdev,coef,site
LWup,6,morp,1.146418008949206,0.9817348057677111,AU-Preston
Qh,6,morp,0.9282057583047605,0.9332811008501976,AU-Preston
Qle,6,morp,0.5584277593310005,0.41314395226505446,AU-Preston
Qtau,6,morp,0.43305630779279586,0.8930684768759198,AU-Preston
SWup,7,morp,1.101053261035986,0.9973574554485138,AU-Preston
LWup,7,morp,1.1534299214355206,0.981757025226148,AU-Preston
Qh,7,morp,0.9119444904399148,0.9338148404737772,AU-Preston
Qle,7,morp,0.5557814389191646,0.4252108066811589,AU-Preston
Qtau,7,morp,0.43316747551955387,0.8964522097888464,AU-Preston
SWup,8,morp,1.1001909505059755,0.9973593906013977,AU-Preston
LWup,8,morp,1.1776919741473553,0.9741937945454268,AU-Preston
Qh,8,morp,0.752484282732574,0.9260630910402031,AU-Preston
Qle,8,morp,0.5393216011877362,0.43672648245981033,AU-Preston
Qtau,8,morp,0.23362315724114255,0.8715605808966422,AU-Preston
SWup,9,morp,1.101053261035986,0.9973574554485138,AU-Preston
LWup,9,morp,1.1825722967140766,0.9742487438481141,AU-Preston
Qh,9,morp,0.7424884065048024,0.9220620674487812,AU-Preston
Qle,9,morp,0.5408495219323075,0.4448755104923533,AU-Preston
Qtau,9,morp,0.23300759943404237,0.8726136477663848,AU-Preston
SWup,10,morp,1.1001909505059755,0.9973593906013977,AU-Preston
LWup,10,morp,1.1416521349400568,0.9817458829002629,AU-Preston
Qh,10,morp,0.9287302472892262,0.9333095640657894,AU-Preston
Qle,10,morp,0.5601571700216988,0.41079869022009813,AU-Preston
Qtau,10,morp,0.43263897996708706,0.892606974638334,AU-Preston
SWup,11,morp,1.101053261035986,0.9973574554485138,AU-Preston
LWup,11,morp,1.1483794882726102,0.9818650341461098,AU-Preston
Qh,11,morp,0.9128534078073238,0.9338454700004944,AU-Preston
Qle,11,morp,0.5559003955522516,0.4243334589153346,AU-Preston
Qtau,11,morp,0.4327697499459025,0.8963410235326434,AU-Preston
SWup,12,morp,1.1001909505059755,0.9973593906013977,AU-Preston
LWup,12,morp,1.1836887776882479,0.9739384006448747,AU-Preston
Qh,12,morp,0.7622944310090797,0.924656451797529,AU-Preston
Qle,12,morp,0.5420576394929159,0.43729119182448395,AU-Preston
Qtau,12,morp,0.23348919380234479,0.8707717684569928,AU-Preston
SWup,13,morp,1.101053261035986,0.9973574554485138,AU-Preston
LWup,13,morp,1.1887430296604604,0.9739753357385282,AU-Preston
Qh,13,morp,0.7519050034751482,0.9207354711466913,AU-Preston
Qle,13,morp,0.5438640431486591,0.44526213144664656,AU-Preston
Qtau,13,morp,0.23289557815576833,0.8717911265569016,AU-Preston
SWup,14,morp,1.1001909505059755,0.9973593906013977,AU-Preston
LWup,14,morp,1.1475325226579791,0.9816517567716662,AU-Preston
Qh,14,morp,0.933229799580451,0.9320263587158301,AU-Preston
Qle,14,morp,0.5632030031402693,0.4125516107184717,AU-Preston
Qtau,14,morp,0.43312312027353206,0.8932926225082322,AU-Preston
SWup,15,morp,1.101053261035986,0.9973574554485138,AU-Preston
LWup,15,morp,1.1543895997853135,0.9817364778115518,AU-Preston
Qh,15,morp,0.9173399876181366,0.9325798152277932,AU-Preston
Qle,15,morp,0.5593930666726907,0.42554119556155906,AU-Preston
Qtau,15,morp,0.43330663384947493,0.8967197514641498,AU-Preston
SWup,16,morp,1.1001909505059755,0.9973593906013977,AU-Preston
LWup,16,morp,1.185891304883667,0.971652256726676,AU-Preston
Qh,16,morp,0.7127033805440215,0.9253501404823774,AU-Preston
Qle,16,morp,0.5362037792894071,0.4391932871022759,AU-Preston
Qtau,16,morp,0.20679113252982545,0.8653036259135237,AU-Preston
SWup,17,morp,1.101053261035986,0.9973574554485138,AU-Preston
LWup,17,morp,1.1912176180882879,0.9716055311016648,AU-Preston
Qh,17,morp,0.7012379754071302,0.9197489502451127,AU-Preston
Qle,17,morp,0.5410417183914747,0.4449243301408062,AU-Preston
Qtau,17,morp,0.20620773006863025,0.8660982035630057,AU-Preston
SWup,18,morp,1.1001909505059755,0.9973593906013977,AU-Preston
LWup,18,morp,1.1502642442454882,0.9794285531613479,AU-Preston
Qh,18,morp,0.8779304358647951,0.934566867805561,AU-Preston
