Variable,Index,Type,sdev,coef,site
LWup,17,morp,1.1912176180882879,0.9716055393218994,AU-Preston
Qh,17,morp,0.7012379754071302,0.9197489619255066,AU-Preston
Qle,17,morp,0.5410417183914747,0.44492435455322266,AU-Preston
Qtau,17,morp,0.20620773006863025,0.8660982251167297,AU-Preston
SWup,18,morp,1.1001909505059755,0.9973593354225159,AU-Preston
LWup,18,morp,1.1502642442454882,0.9794285297393799,AU-Preston
Qh,18,morp,0.8779304358647951,0.9345667958259583,AU-Preston
Qle,18,morp,0.5518945809749025,0.41796156764030457,AU-Preston
Qtau,18,morp,0.3696570324050539,0.8867777585983276,AU-Preston
SWup,19,morp,1.101053261035986,0.9973574876785278,AU-Preston
LWup,19,morp,1.1570951683151771,0.9794515371322632,AU-Preston
Qh,19,morp,0.8615349081010504,0.9346251487731934,AU-Preston
Qle,19,morp,0.5520045658186551,0.4291113317012787,AU-Preston
Qtau,19,morp,0.3697333811165207,0.8899344801902771,AU-Preston
SWup,20,morp,1.1001909505059755,0.9973593354225159,AU-Preston
LWup,20,morp,1.1907067076922506,0.9714080095291138,AU-Preston
Qh,20,morp,0.7214185670998913,0.9236669540405273,AU-Preston
Qle,20,morp,0.5389239829225743,0.43952593207359314,AU-Preston
Qtau,20,morp,0.2066745933150787,0.8648436665534973,AU-Preston
SWup,21,morp,1.101053261035986,0.9973574876785278,AU-Preston
LWup,21,morp,1.1961085870324577,0.9713362455368042,AU-Preston
Qh,21,morp,0.7102291699405481,0.9183037877082825,AU-Preston
Qle,21,morp,0.5436214473948248,0.44517791271209717,AU-Preston
Qtau,21,morp,0.206067615172355,0.8656360507011414,AU-Preston
SWup,22,morp,1.1001909505059755,0.9973593354225159,AU-Preston
LWup,22,morp,1.1549737618870566,0.979274332523346,AU-Preston
Qh,22,morp,0.8816167296482349,0.9333361387252808,AU-Preston
Qle,22,morp,0.5549618963460226,0.4188924729824066,AU-Preston
Qtau,22,morp,0.3698964094560793,0.8869525790214539,AU-Preston
