Variable,Model,sdev,coef,site
Qh,S-WRF_LCZ,0.6861308823830806,0.7366435153876408,FI-Kumpula
Qh,S-LI_LCZ,0.6806314764425379,0.7295785782637326,FI-Kumpula
Qle,S-CNTL,0.8103574617895857,0.6830695236424555,FI-Kumpula
Qle,S-WRF_LCZ,0.8005818452764067,0.6814703936589668,FI-Kumpula
Qle,S-LI_LCZ,0.799180287732232,0.6815322868606601,FI-Kumpula
Rn,S-CNTL,0.9334373843175926,0.9986301536167332,FI-Torni
Rn,S-WRF_LCZ,0.9833513541155914,0.9985337501497322,FI-Torni
Rn,S-LI_LCZ,0.985744504207262,0.998544882785713,FI-Torni
SWup,S-CNTL,1.0984437802826477,0.9333237139218634,FI-Torni
SWup,S-WRF_LCZ,0.9904019855437636,0.9630544764308048,FI-Torni
SWup,S-LI_LCZ,1.0024176944366825,0.9640997255018731,FI-Torni
LWup,S-CNTL,1.122336377592434,0.9847130676345542,FI-Torni
LWup,S-WRF_LCZ,1.0648373679727587,0.9924189110429852,FI-Torni
LWup,S-LI_LCZ,1.0649134848808195,0.9923122144280467,FI-Torni
Qh,S-CNTL,1.0360885017476558,0.7915632454881122,FI-Torni
Qh,S-WRF_LCZ,0.8416194009514187,0.7030507002104792,FI-Torni
Qh,S-LI_LCZ,0.8308136391636137,0.691816174574895,FI-Torni
Qle,S-CNTL,0.6378978544263354,0.46220241543281637,FI-Torni
Qle,S-WRF_LCZ,0.6115454150675904,0.4515681221135916,FI-Torni
Qle,S-LI_LCZ,0.6114701919330784,0.4527582479665469,FI-Torni
Rn,S-CNTL,0.9094508336440994,0.9988392080740267,FR-Capitole
Rn,S-WRF_LCZ,0.9749459968354117,0.999089083144217,FR-Capitole
Rn,S-LI_LCZ,0.9834867545156647,0.9989983027171961,FR-Capitole
SWup,S-CNTL,1.049523695126662,0.9909232190957469,FR-Capitole
SWup,S-WRF_LCZ,1.0495272212887372,0.9909228993306091,FR-Capitole
SWup,S-LI_LCZ,1.0495272212887372,0.9909228993306091,FR-Capitole
LWup,S-CNTL,1.275404948373725,0.9856403750893963,FR-Capitole
LWup,S-WRF_LCZ,1.1199840802599592,0.995579800043961,FR-Capitole
LWup,S-LI_LCZ,1.1066196551257048,0.9944115494421141,FR-Capitole
Qh,S-CNTL,0.9729856550263118,0.9124456292597082,FR-Capitole
Qh,S-WRF_LCZ,0.76061800621074,0.8627500083105359,FR-Capitole
Qh,S-LI_LCZ,0.7064232142065958,0.8378603893375867,FR-Capitole
Qle,S-CNTL,1.0226006804085135,0.5141821858681397,FR-Capitole
Qle,S-WRF_LCZ,0.8982875739724363,0.532962680287399,FR-Capitole
Qle,S-LI_LCZ,0.8825680352607848,0.5331956400207808,FR-Capitole
Qtau,S-CNTL,0.5023355465052343,0.8883400178446308,FR-Capitole
Qtau,S-WRF_LCZ,0.49378327579618936,0.8900350241966284,FR-Capitole
Qtau,S-LI_LCZ,0.4911100619217717,0.8894109782072182,FR-Capitole
Rn,S-CNTL,0.8588723222686112,0.996459335745837,GR-HECKOR
Rn,S-WRF_LCZ,0.923348203897256,0.9970369656964153,GR-HECKOR
Rn,S-LI_LCZ,0.9225848252956707,0.9970474073597647,GR-HECKOR
SWup,S-CNTL,1.0535497685641328,0.9935046722519553,GR-HECKOR
SWup,S-WRF_LCZ,1.0535497685641328,0.9935046722519553,GR-HECKOR
SWup,S-LI_LCZ,1.0535497685641328,0.9935046722519553,GR-HECKOR
LWup,S-CNTL,1.6792675991805268,0.93104891513881,GR-HECKOR
LWup,S-WRF_LCZ,1.4179754837040517,0.9761910801907534,GR-HECKOR
LWup,S-LI_LCZ,1.420084922503564,0.9755373824522711,GR-HECKOR
Qh,S-CNTL,1.3701144316550404,0.9371590084416795,GR-HECKOR
Qh,S-WRF_LCZ,1.1105908349632398,0.9501145113855061,GR-HECKOR
Qh,S-LI_LCZ,1.1185482510611522,0.95018112468188,GR-HECKOR
Qle,S-CNTL,0.7677313541567247,0.15307591765163325,GR-HECKOR
Qle,S-WRF_LCZ,0.7596329615267038,0.1440117806033455,GR-HECKOR
Qle,S-LI_LCZ,0.7602335881416564,0.14423068072410697,GR-HECKOR
Qtau,S-CNTL,0.1667094478419726,0.8605527784330762,GR-HECKOR
Qtau,S-WRF_LCZ,0.16137388456095594,0.8824539531110525,GR-HECKOR
Qtau,S-LI_LCZ,0.16157837590400456,0.8826103129795668,GR-HECKOR
Rn,S-CNTL,0.8972295146297327,0.9969111549706334,JP-Yoyogi
Rn,S-WRF_LCZ,0.9226407010807512,0.9973813074909871,JP-Yoyogi
Rn,S-LI_LCZ,0.9322047464906169,0.9973571709404208,JP-Yoyogi
SWup,S-CNTL,1.0430200545808013,0.9701804002777679,JP-Yoyogi
SWup,S-WRF_LCZ,1.0427929933714897,0.9702098778787316,JP-Yoyogi
SWup,S-LI_LCZ,1.0427601352124574,0.9702067524430315,JP-Yoyogi
LWup,S-CNTL,1.242554659596517,0.9693614005564747,JP-Yoyogi
LWup,S-WRF_LCZ,1.1724485238808933,0.9817601169957879,JP-Yoyogi
LWup,S-LI_LCZ,1.1568441831622582,0.9847967754438313,JP-Yoyogi
Qh,S-CNTL,1.0316028751956918,0.8539875738999867,JP-Yoyogi
Qh,S-WRF_LCZ,0.9566718743147388,0.8394246809167211,JP-Yoyogi
Qh,S-LI_LCZ,0.8905305008449073,0.8067322559072521,JP-Yoyogi
Qle,S-CNTL,0.75495409879802,0.46653586288283544,JP-Yoyogi
Qle,S-WRF_LCZ,0.7399532120001072,0.4728678778211073,JP-Yoyogi
Qle,S-LI_LCZ,0.7350143448470517,0.4728844681890749,JP-Yoyogi
Rn,S-CNTL,0.9226161722947797,0.9951850145846565,KR-Jungnang
Rn,S-WRF_LCZ,0.9723800366491382,0.9979727856339651,KR-Jungnang
Rn,S-LI_LCZ,0.9827986813338263,0.9979089300846049,KR-Jungnang
SWup,S-CNTL,0.9210079485014235,0.9824737356206265,KR-Jungnang
SWup,S-WRF_LCZ,0.9210518551730306,0.98247523597642,KR-Jungnang
SWup,S-LI_LCZ,0.9210372776934361,0.9824763706621743,KR-Jungnang
LWup,S-CNTL,1.207838729726547,0.9783062819985696,KR-Jungnang
LWup,S-WRF_LCZ,1.1119301177895586,0.9922163352512414,KR-Jungnang
LWup,S-LI_LCZ,1.1008336674885124,0.9923281245598888,KR-Jungnang
Qh,S-CNTL,1.1131046107213343,0.8101239844731446,KR-Jungnang
