Variable,Model,sdev,coef,site
Qh,S-WRF_LCZ,0.6861309267431575,0.7366435527801514,FI-Kumpula
Qh,S-LI_LCZ,0.6806314557945643,0.7295786142349243,FI-Kumpula
Qle,S-CNTL,0.8103575122706959,0.6830695271492004,FI-Kumpula
Qle,S-WRF_LCZ,0.8005818452764067,0.6814703941345215,FI-Kumpula
Qle,S-LI_LCZ,0.799180287732232,0.6815322637557983,FI-Kumpula
Rn,S-CNTL,0.9334373843175926,0.9986301536167332,FI-Torni
Rn,S-WRF_LCZ,0.9833513541155914,0.9985337501497322,FI-Torni
Rn,S-LI_LCZ,0.985744504207262,0.998544882785713,FI-Torni
SWup,S-CNTL,1.0984437802826477,0.9333237409591675,FI-Torni
SWup,S-WRF_LCZ,0.9904019855437636,0.9630544781684875,FI-Torni
SWup,S-LI_LCZ,1.0024176944366825,0.9640997052192688,FI-Torni
LWup,S-CNTL,1.122336377592434,0.984713077545166,FI-Torni
LWup,S-WRF_LCZ,1.0648373679727587,0.9924188852310181,FI-Torni
LWup,S-LI_LCZ,1.0649134848808195,0.9923121929168701,FI-Torni
Qh,S-CNTL,1.0360885017476558,0.7915632724761963,FI-Torni
Qh,S-WRF_LCZ,0.8416194009514187,0.7030506730079651,FI-Torni
Qh,S-LI_LCZ,0.8308136391636137,0.6918162107467651,FI-Torni
Qle,S-CNTL,0.637897793418116,0.46220242977142334,FI-Torni
Qle,S-WRF_LCZ,0.6115454150675904,0.4515680968761444,FI-Torni
Qle,S-LI_LCZ,0.6114701919330784,0.452758252620697,FI-Torni
Rn,S-CNTL,0.9094508336440994,0.9988392080740267,FR-Capitole
Rn,S-WRF_LCZ,0.9749459968354117,0.999089083144217,FR-Capitole
Rn,S-LI_LCZ,0.9834867545156647,0.9989983027171961,FR-Capitole
SWup,S-CNTL,1.049523695126662,0.990923285484314,FR-Capitole
SWup,S-WRF_LCZ,1.0495272212887372,0.9909228682518005,FR-Capitole
SWup,S-LI_LCZ,1.0495272212887372,0.9909228682518005,FR-Capitole
LWup,S-CNTL,1.275404948373725,0.9856403470039368,FR-Capitole
LWup,S-WRF_LCZ,1.1199840802599592,0.9955797791481018,FR-Capitole
LWup,S-LI_LCZ,1.1066196551257048,0.9944115877151489,FR-Capitole
Qh,S-CNTL,0.9729856550263118,0.912445604801178,FR-Capitole
Qh,S-WRF_LCZ,0.76061800621074,0.8627499938011169,FR-Capitole
Qh,S-LI_LCZ,0.7064232142065958,0.8378603458404541,FR-Capitole
Qle,S-CNTL,1.0226006804085135,0.5141821503639221,FR-Capitole
Qle,S-WRF_LCZ,0.8982875739724363,0.5329626798629761,FR-Capitole
Qle,S-LI_LCZ,0.8825680352607848,0.5331956148147583,FR-Capitole
Qtau,S-CNTL,0.5023355465052343,0.8883400559425354,FR-Capitole
Qtau,S-WRF_LCZ,0.49378327579618936,0.8900350332260132,FR-Capitole
Qtau,S-LI_LCZ,0.4911100619217717,0.8894109725952148,FR-Capitole
Rn,S-CNTL,0.8588723222686112,0.996459335745837,GR-HECKOR
Rn,S-WRF_LCZ,0.923348203897256,0.9970369656964153,GR-HECKOR
Rn,S-LI_LCZ,0.9225848252956707,0.9970474073597647,GR-HECKOR
SWup,S-CNTL,1.0535497685641328,0.9935047030448914,GR-HECKOR
SWup,S-WRF_LCZ,1.0535497685641328,0.9935047030448914,GR-HECKOR
SWup,S-LI_LCZ,1.0535497685641328,0.9935047030448914,GR-HECKOR
LWup,S-CNTL,1.6792675991805268,0.9310489296913147,GR-HECKOR
LWup,S-WRF_LCZ,1.4179754837040517,0.9761911034584045,GR-HECKOR
LWup,S-LI_LCZ,1.420084922503564,0.9755374193191528,GR-HECKOR
Qh,S-CNTL,1.3701144316550404,0.93715900182724,GR-HECKOR
Qh,S-WRF_LCZ,1.1105909081133576,0.9501145482063293,GR-HECKOR
Qh,S-LI_LCZ,1.11854832421127,0.9501811265945435,GR-HECKOR
Qle,S-CNTL,0.7677313541567247,0.1530759185552597,GR-HECKOR
Qle,S-WRF_LCZ,0.7596329615267038,0.14401178061962128,GR-HECKOR
Qle,S-LI_LCZ,0.7602335881416564,0.1442306786775589,GR-HECKOR
Qtau,S-CNTL,0.1667094478419726,0.8605527877807617,GR-HECKOR
Qtau,S-WRF_LCZ,0.16137388456095594,0.8824539184570312,GR-HECKOR
Qtau,S-LI_LCZ,0.16157837590400456,0.8826103210449219,GR-HECKOR
Rn,S-CNTL,0.8972294488972747,0.9969111549706334,JP-Yoyogi
Rn,S-WRF_LCZ,0.9226406334866294,0.9973813074909871,JP-Yoyogi
Rn,S-LI_LCZ,0.9322046781958179,0.9973571709404208,JP-Yoyogi
SWup,S-CNTL,1.0430200545808013,0.9701804518699646,JP-Yoyogi
SWup,S-WRF_LCZ,1.0427929933714897,0.9702098965644836,JP-Yoyogi
SWup,S-LI_LCZ,1.0427601352124574,0.9702067375183105,JP-Yoyogi
LWup,S-CNTL,1.242554659596517,0.9693613648414612,JP-Yoyogi
LWup,S-WRF_LCZ,1.1724485238808933,0.9817600846290588,JP-Yoyogi
LWup,S-LI_LCZ,1.1568441831622582,0.9847967624664307,JP-Yoyogi
Qh,S-CNTL,1.0316028751956918,0.8539875745773315,JP-Yoyogi
Qh,S-WRF_LCZ,0.9566718743147388,0.8394246697425842,JP-Yoyogi
Qh,S-LI_LCZ,0.8905305008449073,0.8067322373390198,JP-Yoyogi
Qle,S-CNTL,0.75495409879802,0.46653586626052856,JP-Yoyogi
Qle,S-WRF_LCZ,0.7399532621867463,0.472867876291275,JP-Yoyogi
Qle,S-LI_LCZ,0.7350143448470517,0.4728844463825226,JP-Yoyogi
Rn,S-CNTL,0.9226161722947797,0.9951850145846565,KR-Jungnang
Rn,S-WRF_LCZ,0.9723800366491382,0.9979727856339651,KR-Jungnang
Rn,S-LI_LCZ,0.9827986813338263,0.9979089300846049,KR-Jungnang
SWup,S-CNTL,0.9210079485014235,0.9824737310409546,KR-Jungnang
SWup,S-WRF_LCZ,0.9210518551730306,0.9824752807617188,KR-Jungnang
SWup,S-LI_LCZ,0.9210372776934361,0.9824764132499695,KR-Jungnang
LWup,S-CNTL,1.207838729726547,0.978306233882904,KR-Jungnang
LWup,S-WRF_LCZ,1.1119301177895586,0.9922163486480713,KR-Jungnang
LWup,S-LI_LCZ,1.1008336674885124,0.9923281669616699,KR-Jungnang
Qh,S-CNTL,1.1131046107213343,0.8101239800453186,KR-Jungnang
Qh,S-WRF_LCZ,0.910752174873355,0.8005495667457581,KR-Jungnang
