Site,Variable,Model,mean_sdev,mean_coef
FI-Kumpula,Rn,LI_LCZ,0.9882554441249428,0.9967450990764115
FI-Kumpula,Rn,CESM_LCZ,0.9902162771948619,0.9960217149821634
FI-Kumpula,SWup,CNTL,0.919553864453806,0.9532488584518433
FI-Kumpula,SWup,WRF_LCZ,0.9159094139628009,0.9612676501274109
FI-Kumpula,SWup,LI_LCZ,0.9177153831632077,0.9615700840950012
FI-Kumpula,SWup,CESM_LCZ,0.8879183427890942,0.9483879804611206
FI-Kumpula,LWup,CNTL,1.0510126477878308,0.9903148412704468
FI-Kumpula,LWup,WRF_LCZ,1.025231620482442,0.993532121181488
FI-Kumpula,LWup,LI_LCZ,1.020060728481325,0.9936767816543579
FI-Kumpula,LWup,CESM_LCZ,1.016078143968607,0.9931962490081787
FI-Kumpula,Qh,CNTL,0.7861853564244452,0.7864531874656677
FI-Kumpula,Qh,WRF_LCZ,0.6843168113883921,0.7364745736122131
FI-Kumpula,Qh,LI_LCZ,0.6788325552374798,0.7294366359710693
FI-Kumpula,Qh,CESM_LCZ,0.6824755352085017,0.748083233833313
FI-Kumpula,Qle,CNTL,0.8020237358125902,0.6771019101142883
FI-Kumpula,Qle,WRF_LCZ,0.792345238438081,0.6754783391952515
FI-Kumpula,Qle,LI_LCZ,0.7909590961016022,0.6755390167236328
FI-Kumpula,Qle,CESM_LCZ,0.784859849830247,0.6722093820571899
FI-Kumpula,Qtau,CNTL,,
FI-Kumpula,Qtau,WRF_LCZ,,
FI-Kumpula,Qtau,LI_LCZ,,
FI-Kumpula,Qtau,CESM_LCZ,,
FI-Torni,Rn,CNTL,0.9328976646065416,0.9988553324445315
FI-Torni,Rn,WRF_LCZ,0.9807259276562442,0.9987323839459906
FI-Torni,Rn,LI_LCZ,0.982384263157981,0.998722723959022
FI-Torni,Rn,CESM_LCZ,0.9875675033856884,0.9989086321046685
FI-Torni,SWup,CNTL,1.0900054714913734,0.9492684006690979
FI-Torni,SWup,WRF_LCZ,0.9919601200388448,0.9721617102622986
FI-Torni,SWup,LI_LCZ,1.0039749370201916,0.9729474186897278
FI-Torni,SWup,CESM_LCZ,0.938812222863945,0.9868301153182983
FI-Torni,LWup,CNTL,1.122336377592434,0.984713077545166
FI-Torni,LWup,WRF_LCZ,1.0648373679727587,0.9924188852310181
FI-Torni,LWup,LI_LCZ,1.0649134848808195,0.9923121929168701
FI-Torni,LWup,CESM_LCZ,1.0436615346295164,0.9925087094306946
FI-Torni,Qh,CNTL,1.0336169077838002,0.7903786897659302
FI-Torni,Qh,WRF_LCZ,0.839606126484308,0.7018072605133057
FI-Torni,Qh,LI_LCZ,0.8288341688765778,0.6906124949455261
FI-Torni,Qh,CESM_LCZ,0.8116393652369795,0.7046100497245789
FI-Torni,Qle,CNTL,0.6134864079767424,0.4466700553894043
FI-Torni,Qle,WRF_LCZ,0.588268895683335,0.4369288384914398
FI-Torni,Qle,LI_LCZ,0.588229913723059,0.4382012188434601
FI-Torni,Qle,CESM_LCZ,0.5800514514909426,0.4232381284236908
FI-Torni,Qtau,CNTL,,
FI-Torni,Qtau,WRF_LCZ,,
FI-Torni,Qtau,LI_LCZ,,
FI-Torni,Qtau,CESM_LCZ,,
FR-Capitole,Rn,CNTL,0.9023662873850455,0.9992091761518026
FR-Capitole,Rn,WRF_LCZ,0.9690138460277588,0.9991567820609308
FR-Capitole,Rn,LI_LCZ,0.9775067906597505,0.9990599044912959
FR-Capitole,Rn,CESM_LCZ,0.9787829457568863,0.9992385159109991
FR-Capitole,SWup,CNTL,1.0455012021015746,0.9937661290168762
FR-Capitole,SWup,WRF_LCZ,1.0455000878121936,0.9937660098075867
FR-Capitole,SWup,LI_LCZ,1.0455000878121936,0.9937660098075867
FR-Capitole,SWup,CESM_LCZ,1.0455000878121936,0.9937660098075867
FR-Capitole,LWup,CNTL,1.2753723705541977,0.985640287399292
FR-Capitole,LWup,WRF_LCZ,1.119993276961373,0.9955803155899048
FR-Capitole,LWup,LI_LCZ,1.1066337865024514,0.9944117069244385
FR-Capitole,LWup,CESM_LCZ,1.0891731113992644,0.9950902462005615
FR-Capitole,Qh,CNTL,0.9652499495318578,0.873508632183075
FR-Capitole,Qh,WRF_LCZ,0.7547848275641809,0.8233688473701477
FR-Capitole,Qh,LI_LCZ,0.7012674588157345,0.798851728439331
FR-Capitole,Qh,CESM_LCZ,0.6825382627900857,0.8151372671127319
FR-Capitole,Qle,CNTL,0.9640474454453185,0.48917415738105774
FR-Capitole,Qle,WRF_LCZ,0.8519572080600872,0.5057277083396912
FR-Capitole,Qle,LI_LCZ,0.838216389421637,0.5056683421134949
FR-Capitole,Qle,CESM_LCZ,0.8393115929485865,0.500194787979126
FR-Capitole,Qtau,CNTL,0.5003317180601675,0.8919672966003418
FR-Capitole,Qtau,WRF_LCZ,0.4917300505458855,0.8934326767921448
FR-Capitole,Qtau,LI_LCZ,0.4889801859933555,0.8927373886108398
