time,lndgrid,urban_heat,hour,minute,index,site,date
21:30,0,-6.9733562,21,30,0,AU-Pre,2004-05-20 21:30:00
22:00,0,-3.825923,22,0,0,AU-Pre,2004-05-20 22:00:00
22:30,0,0.506449,22,30,0,AU-Pre,2004-05-20 22:30:00
23:00,0,9.497519,23,0,0,AU-Pre,2004-05-20 23:00:00
23:30,0,8.249343,23,30,0,AU-Pre,2004-05-20 23:30:00
00:00,0,12.188718,0,0,0,AU-Pre,2004-05-21 00:00:00
00:30,0,27.702473,0,30,0,AU-Pre,2004-05-21 00:30:00
01:00,0,29.573803,1,0,0,AU-Pre,2004-05-21 01:00:00
01:30,0,14.670453,1,30,0,AU-Pre,2004-05-21 01:30:00
02:00,0,16.412868,2,0,0,AU-Pre,2004-05-21 02:00:00
02:30,0,52.136166,2,30,0,AU-Pre,2004-05-21 02:30:00
03:00,0,45.892185,3,0,0,AU-Pre,2004-05-21 03:00:00
03:30,0,24.318764,3,30,0,AU-Pre,2004-05-21 03:30:00
04:00,0,48.811165,4,0,0,AU-Pre,2004-05-21 04:00:00
04:30,0,54.782047,4,30,0,AU-Pre,2004-05-21 04:30:00
05:00,0,50.096745,5,0,0,AU-Pre,2004-05-21 05:00:00
05:30,0,37.768417,5,30,0,AU-Pre,2004-05-21 05:30:00
06:00,0,21.496214,6,0,0,AU-Pre,2004-05-21 06:00:00
06:30,0,13.823355,6,30,0,AU-Pre,2004-05-21 06:30:00
07:00,0,-1.5748194,7,0,0,AU-Pre,2004-05-21 07:00:00
07:30,0,-9.60371,7,30,0,AU-Pre,2004-05-21 07:30:00
08:00,0,-11.58611,8,0,0,AU-Pre,2004-05-21 08:00:00
08:30,0,-13.17105,8,30,0,AU-Pre,2004-05-21 08:30:00
09:00,0,-12.646299,9,0,0,AU-Pre,2004-05-21 09:00:00
09:30,0,-13.019615,9,30,0,AU-Pre,2004-05-21 09:30:00
10:00,0,-11.346207,10,0,0,AU-Pre,2004-05-21 10:00:00
10:30,0,-10.711306,10,30,0,AU-Pre,2004-05-21 10:30:00
11:00,0,-9.997498,11,0,0,AU-Pre,2004-05-21 11:00:00
11:30,0,-8.252506,11,30,0,AU-Pre,2004-05-21 11:30:00
12:00,0,-8.610111,12,0,0,AU-Pre,2004-05-21 12:00:00
12:30,0,-9.040722,12,30,0,AU-Pre,2004-05-21 12:30:00
13:00,0,-9.435594,13,0,0,AU-Pre,2004-05-21 13:00:00
13:30,0,-10.764483,13,30,0,AU-Pre,2004-05-21 13:30:00
14:00,0,-12.185667,14,0,0,AU-Pre,2004-05-21 14:00:00
14:30,0,-14.598979,14,30,0,AU-Pre,2004-05-21 14:30:00
15:00,0,-12.92292,15,0,0,AU-Pre,2004-05-21 15:00:00
15:30,0,-9.269354,15,30,0,AU-Pre,2004-05-21 15:30:00
16:00,0,-9.603838,16,0,0,AU-Pre,2004-05-21 16:00:00
16:30,0,-8.771514,16,30,0,AU-Pre,2004-05-21 16:30:00
17:00,0,-9.994119,17,0,0,AU-Pre,2004-05-21 17:00:00
17:30,0,-13.369829,17,30,0,AU-Pre,2004-05-21 17:30:00
